Kiswahili;Deutsch;Zusatz de;Wortart;Klasse;Animate;Singular Kiswahili;Klasse Singular;Plural Kiswahili;Klasse Plural;Plural Deutsch;Einsilbig;Verbstamm;Infinitiv;Thema;Anmerkung
-kimbia;laufen;;Verb;;;;;;;;0;kimbia;kukimbia;Allgemein;
-kimbia;davonlaufen;;Verb;;;;;;;;0;kimbia;kukimbia;Allgemein;
-kimbia;fliehen;;Verb;;;;;;;;0;kimbia;kukimbia;Allgemein;
Msikimbieni!;Rennt nicht! Lauft langsam/ordentlich!;;Ausdruck;;0;;;;;;0;;;Allgemein;
Chezeni vizuri!;Spielt schön (nett)!;;Ausdruck;;0;;;;;;0;;;Allgemein;
mto;Fluss;;Substantiv;3/4;0;mto;3;mito;4;Flüsse;0;;;Allgemein;
mto wa bahari;Meeresbucht;;Substantiv;3/4;0;mto wa bahari;3;mito wa bahari;4;Meeresbuchten;0;;;Allgemein;
bahari;Meer;;Substantiv;9/10;0;bahari;9;bahari;10;Meere;0;;;Allgemein;
mlima;Berg;;Substantiv;3/4;0;mlima;3;milima;4;Berge;0;;;Allgemein;
dunia;Welt;;Substantiv;9;0;dunia;9;;10;;0;;;Allgemein;
jiji;Grosstadt;;Substantiv;5/6;0;jiji;5;majiji;6;Grossstädte;0;;;Allgemein;
ziwa;See, Teich;;Substantiv;5/6;0;ziwa;5;maziwa;6;Seen, Teiche;0;;;Allgemein;
ziwa;(weibl.) Brust, Busen;;Substantiv;5/6;0;ziwa;5;maziwa;6;(weibl.) Brüste, Busen (Pl.);0;;;Allgemein;
-nyonyesha ziwa;(ein Baby) stillen;;Verb;;0;;;;;;0;nyonyesha ziwa;kunyonyesha ziwa;Allgemein;
maziwa;Milch;;Substantiv;6;0;;;maziwa;6;Milch (Pl.);0;;;Allgemein;
pembe;Horn, Geweih, Stosszahn;;Substantiv;9/10;0;pembe;9;pembe;10;Hörner, Geweihe, Stosszähne;0;;;Allgemein;
pembe;Ecke, Winkel;;Substantiv;9/10;0;pembe;9;pembe;10;Ecken, Winkel (Pl.);0;;;Allgemein;
dunia;Erde;;Substantiv;9;0;dunia;9;;10;;0;;;Allgemein;
ramani;Karte;;Substantiv;9/10;0;ramani;9;ramani;10;Karten;;;;Allgemein;
ramani;Plan;;Substantiv;9/10;0;ramani;9;ramani;10;Pläne;;;;Allgemein;
barabara;Strasse;;Substantiv;9/10;0;barabara;9;barabara;10;Strassen;0;;;Allgemein;
njia;Weg;;Substantiv;9/10;0;njia;9;njia;10;Wege;0;;;Allgemein;
lami;Teer, Asphalt;;Substantiv;9;0;lami;9;;;;0;;;Allgemein;
barabara ya lami;Asphaltstrasse;;Substantiv;9/10;0;barabara ya lami;9;barabara ya lami;10;Asphaltstrassen;0;;;Allgemein;
pwani;Küste, Strand;;Substantiv;9/10;0;pwani;9;pwani;10;Küsten, Strände;0;;;Allgemein;
upande;Seite;;Substantiv;11/10;0;upande;11;pande;10;Seiten;0;;;Allgemein;
mahali;Ort, Stelle, Platz;;Substantiv;16;0;mahali;;mahali;16;Orte, Stellen, Plätze;0;;;Allgemein;
kaskazini;Norden;;Substantiv;9;0;kaskazini;9;;;;0;;;Allgemein;
kaskazini ya;nördlich von;;Sonstige;;0;;;;;;0;;;Allgemein;
kaskazini mwa;im Norden von;;Sonstige;;0;;;;;;0;;;Allgemein;
kusini;Süden;;Substantiv;9;0;kusini;9;;;;0;;;Allgemein;
kusini ya;südlich von;;Sonstige;;0;;;;;;0;;;Allgemein;
kusini mwa;im Süden von;;Sonstige;;0;;;;;;0;;;Allgemein;
mashariki;Osten;;Substantiv;9;0;mashariki;9;;;;0;;;Allgemein;
mashariki ya;östlich von;;Sonstige;;0;;;;;;0;;;Allgemein;
mashariki mwa;im Osten von;;Sonstige;;0;;;;;;0;;;Allgemein;
Mashariki ya Kati;Naher Osten, Mittlerer Osten;;Substantiv;9;0;Mashariki ya Kati;9;;;;0;;;Allgemein;
Mashariki ya Mbali;Ferner Osten;;Substantiv;9;0;Mashariki ya Mbali;9;;;;0;;;Allgemein;
magharibi;Westen;;Substantiv;9;0;magharibi;9;;;;0;;;Allgemein;
magharibi ya;westlich von;;Sonstige;;0;;;;;;0;;;Allgemein;
magharibi mwa;im Westen von;;Sonstige;;0;;;;;;0;;;Allgemein;
magharibi;die Zeit des Sonnenuntergangs;;Substantiv;9;0;magharibi;9;;;;0;;;Allgemein;
kati;Mitte, Zentrum;;Substantiv;9/10;0;kati;9;kati;10;Mitten;0;;;Allgemein;
kati ya;zwischen;;Sonstige;;0;;;;;;0;;;Allgemein;
katikati;Mitte;;Substantiv;9/10;0;katikati;9;katikati;10;Mitten;0;;;Allgemein;
katikati ya;mitten;;Sonstige;;0;;;;;;0;;;Allgemein;
yaani;nämlich, das heisst;;Sonstige;;0;;;;;;0;;;Allgemein;
-fuata;folgen;;Verb;;0;;;;;;0;fuata;kufuata;Allgemein;
-fuata;befolgen;;Verb;;0;;;;;;0;fuata;kufuata;Allgemein;
-fuata;imitieren;;Verb;;0;;;;;;0;fuata;kufuata;Allgemein;
-fuata mfano;sich ein Beispiel nehmen;;Verb;;0;;;;;;0;fuata mfano;kufuata mfano;Allgemein;
-fuatana;aufeinander folgen;;Verb;;0;;;;;;0;fuatana;kufuatana;Allgemein;
-fuatana;einander begleiten;;Verb;;0;;;;;;0;fuatana;kufuatana;Allgemein;
-fuatana na;begleitet werden von;;Verb;;0;;;;;;0;fuatana na;kufuatana na;Allgemein;
-kuta;treffen;;Verb;;;;;;;;0;kuta;kukuta;Allgemein;
-kuta;[auf jmdn. od. etw.] stossen;;Verb;;;;;;;;0;kuta;kukuta;Allgemein;
-fanya haraka;sich beeilen;;Verb;;0;;;;;;0;fanya haraka;kufanya haraka;Allgemein;
haraka;Hast;;Substantiv;9;0;haraka;9;;;;0;;;Allgemein;
-acha;zurücklassen;;Verb;;0;;;;;;0;acha;kuacha;Allgemein;
-acha;aufhören;;Verb;;;;;;;;0;acha;kuacha;Allgemein;
acha!;hör auf!;;Verb;;0;;;;;;0;acha!;kuacha!;Allgemein;
-acha;lassen;;Verb;;0;;;;;;0;acha;kuacha;Allgemein;
mbu;Moskito;;Substantiv;9/10;1;mbu;9;mbu;10;Moskitos;0;;;Pflanzen, Tiere;
ajabu;Wunder;;Substantiv;9/10;0;ajabu;9;ajabu (maajabu);10;Wunder (Pl.);0;;;Allgemein;
ajabu;Verwunderung;;Substantiv;9/10;0;ajabu;9;ajabu (maajabu);10;Verwunderungen;0;;;Allgemein;
ajabu;Überaschung;;Substantiv;9/10;0;ajabu;9;ajabu (maajabu);10;Überaschungen;0;;;Allgemein;
-leta;holen;;Verb;;0;;;;;;0;leta;kuleta;Allgemein;
-leta;mitbringen;;Verb;;0;;;;;;0;leta;kuleta;Allgemein;
-letea;[jmd. etw.] bringen;;Verb;;;;;;;;0;letea;kuletea;Allgemein;
Naomba, uniletee samaki na wali.;Bringen Sie mir bitte Fisch mit Reis.;;Beispiel;;0;;;;;;0;;;Essen, Lebensmittel;
-tafuta;suchen;;Verb;;0;;;;;;0;tafuta;kutafuta;Allgemein;
Hamna ruhusa kuchukua baiskeli.;Ihr dürft das Fahrrad nicht nehmen.;;Beispiel;;0;;;;;;0;;;Allgemein;
Huna ruhusa kuchukua baiskeli.;Du darfst das Fahrrad nicht nehmen.;;Beispiel;;0;;;;;;0;;;Allgemein;
ruhusa;Genehmigung;;Substantiv;9/10;0;ruhusa;9;ruhusa;10;Genehmigungen;0;;;Allgemein;
Hamruhusiwi kuchukua baiskeli.;Ihr dürft das Fahrrad nicht nehmen.;;Beispiel;;0;;;;;;0;;;Allgemein;
Hauruhusiwi kuchukua baiskeli.;Du darfst das Fahrrad nicht nehmen.;;Beispiel;;0;;;;;;0;;;Allgemein;
ruhusa;Erlaubnis;;Substantiv;9/10;0;ruhusa;9;ruhusa;10;Erlaubnisse;0;;;Allgemein;
-pa ruhusa;Erlaubnis geben;;Verb;;0;;;;;;0;pa ruhusa;kupa ruhusa;Allgemein;
-pa ruhusa;Erlaubnis erteilen;;Verb;;0;;;;;;0;pa ruhusa;kupa ruhusa;Allgemein;
-pa ruhusa;Genehmigung erteilen;;Verb;;0;;;;;;0;pa ruhusa;kupa ruhusa;Allgemein;
Hairuhusiwi;Es ist nicht erlaubt;;Beispiel;;0;;;;;;0;;;Allgemein;Bei Passivform von Verben mit Endung &quot;u&quot; wird das &quot;u&quot; zu &quot;i&quot;.
dunia;Weltall;;Substantiv;9;0;dunia;9;;10;;0;;;Allgemein;
elimu;Bildung;;Substantiv;9;0;elimu;9;;;;0;;;Allgemein;
elimu;Wissenschaft;;Substantiv;9;0;elimu;9;;;;0;;;Allgemein;
-bonyeza;klicken;;Verb;;;;;;;;0;bonyeza;kubonyeza;Computer;
-ajabu;erstaunt sein;;Verb;;0;;;;;;0;ajabu;kuajabu;Allgemein;
-achana;sich trennen;;Verb;;0;;;;;;0;achana;kuachana;Allgemein;
ajabu;erstaunlich;;Adjektiv;;0;;;;;;0;;;Allgemein;
ajabu;unglaublich;;Adjektiv;;0;;;;;;0;;;Allgemein;
ajabu;merkwürdig;;Adjektiv;;0;;;;;;0;;;Allgemein;
ajili;Ursache;;Substantiv;9/10;0;ajili;9;ajili;10;Ursachen;0;;;Allgemein;
-ambia;mitteilen;;Verb;;0;;;;;;0;ambia;kuambia;Allgemein;Muss immer mit Objekt-Infix verwendet werden: aliniambia (er teilte mir mit)
-amkia;[jmdm.] seine Hochachtung bezeugen;;Verb;;;;;;;;0;amkia;kuamkia;Allgemein;
mbuyu;Baobab;;Substantiv;3/4;0;mbuyu;3;mibuyu;4;Baobabs;0;;;Pflanzen, Tiere;
mbuyu;Affenbrotbaum;;Substantiv;3/4;0;mbuyu;3;mibuyu;4;Affenbrotbäume;0;;;Pflanzen, Tiere;
mbuzi;Ziege;;Substantiv;9/10;1;mbuzi;9;mbuzi;10;Ziegen;0;;;Pflanzen, Tiere;
mbwa;Hund;;Substantiv;9/10;1;mbwa;9;mbwa;10;Hunde;0;;;Pflanzen, Tiere;
mkanda;Gurt;;Substantiv;3/4;0;mkanda;3;mikanda;4;Gurte;0;;;Allgemein;
mkanda;Gürtel;;Substantiv;3/4;0;mkanda;3;mikanda;4;Gürtel (Pl);0;;;Allgemein;
Bonyeza mara mbili kwa kutumia batani ya kushoto.;Klicke doppelt mit der linken Maustaste.;;Beispiel;;0;;;;;;0;;;Computer;
Bonyeza mara mbili kwenye &quot;Recycle Bin&quot;.;Klicke doppelt auf den Papierkorb.;;Beispiel;;0;;;;;;0;;;Computer;
Nataka kuhamisha faili kutoka kwenye flash kwenda kwenye kompyuta.;Ich möchte die Datei vom USB-Stick auf den Computer kopieren.;;Beispiel;;0;;;;;;0;;;Computer;
batani;Button;;Substantiv;9;0;batani;9;batani;;Buttons;;;;Computer;
batani;Maustaste;;Substantiv;9;0;batani;9;batani;;Maustasten;;;;Computer;
faili;Datei;;Substantiv;9/10;0;faili;9;faili;10;Dateien;;;;Computer;
faili;File;;Substantiv;9/10;0;faili;9;faili;10;Files;;;;Computer;
kwenye;auf;;Sonstige;;0;;;;;;0;;;Allgemein;
kwenye;bei;;Sonstige;;0;;;;;;0;;;Allgemein;
kwenye;an;;Sonstige;;0;;;;;;0;;;Allgemein;
kwenye;in;;Sonstige;;0;;;;;;0;;;Allgemein;
-ingiza;hereinlassen;;Verb;;0;;;;;;0;ingiza;kuingiza;Allgemein;
-ingiza;einführen;;Verb;;0;;;;;;0;ingiza;kuingiza;Allgemein;
-zima;abschalten;;Verb;;0;;;;;;0;zima;kuzima;Technik;
-zima;herunterfahren;;Verb;;;;;;;;0;zima;kuzima;Computer;
-peleka;wegbringen;;Verb;;0;;;;;;0;peleka;kupeleka;Allgemein;nicht: herbringen
-peleka;fortschaffen;;Verb;;0;;;;;;0;peleka;kupeleka;Allgemein;
-peleka;versenden;;Verb;;0;;;;;;0;peleka;kupeleka;Allgemein;
-peleka;verschicken;;Verb;;0;;;;;;0;peleka;kupeleka;Allgemein;
Umepona?;Bist du wieder gesund?;;Beispiel;;0;;;;;;0;;;Gesundheit, Medizin;
Unaendelea vizuri?;Geht es dir besser?;;Beispiel;;0;;;;;;0;;;Gesundheit, Medizin;
Anaongea kiswahili vizuri zaidi yangu.;Sie spricht besser Kiswahili als ich.;;Beispiel;;0;;;;;;0;;;Allgemein;
Anaongea kiingereza vizuri zaidi ya Hans.;Er spricht besser Englisch als Hans.;;Beispiel;;0;;;;;;0;;;Allgemein;
Umependezwa?;(Wie) Gefällt dir das?;;Beispiel;;0;;;;;;0;;;Allgemein;
ndugu;Geschwister;;Substantiv;9/10;0;ndugu;9;ndugu;10;Geschwister;0;;;Familie, Menschen;
ndugu;Freund;;Substantiv;9/10;0;ndugu;9;ndugu;10;Freunde;0;;;Familie, Menschen;
ndugu;Kollege;;Substantiv;9/10;0;ndugu;9;ndugu;10;Kollegen;0;;;Familie, Menschen;
ndugu;Genosse;;Substantiv;9/10;0;ndugu;9;ndugu;10;Genosse;0;;;Familie, Menschen;
kabla;ehe;;Sonstige;;0;;;;;;0;;;Allgemein;
tayari;bereit;;Adverb;;0;;;;;;0;;;Allgemein;
tayari;schon;;Adverb;;0;;;;;;0;;;Allgemein;
tayari;bereits;;Adverb;;0;;;;;;0;;;Allgemein;
niko tayari;ich bin fertig (bereit);;Ausdruck;;0;;;;;;0;;;Allgemein;
Ulikuwapo tayari?;Warst du bereits hier?;;Beispiel;;0;;;;;;0;;;Allgemein;
kabla;früher;;Adverb;;0;;;;;;0;;;Zeit, Zeitrechnung;
Alifika siku moja kabla.;Er kam einen Tag früher (vorher).;;Beispiel;;0;;;;;;0;;;Zeit, Zeitrechnung;
kabla ya;bevor;;Sonstige;;0;;;;;;0;;;Zeit, Zeitrechnung;
kabla ya wakati;zu früh;;Sonstige;;;;;;;;;;;Zeit, Zeitrechnung;
Kabla ya kwenda nyumbani, atanunua mkate.;Bevor er nach Hause geht, kauft er Brot.;;Beispiel;;0;;;;;;0;;;Allgemein;
Ulikuwapo kabla?;Warst du vorher (vorhin) schon hier?;;Beispiel;;0;;;;;;0;;;Allgemein;
mtaalamu;Spezialist;;Substantiv;1/2;0;mtaalamu;1;wataalamu;2;Spezialisten;0;;;Allgemein;
mtaalamu;Wissenschaftler;;Substantiv;1/2;0;mtaalamu;1;wataalamu;2;Wissenschaftler (Pl.);0;;;Allgemein;
mtaalamu;Gelehrter;;Substantiv;1/2;0;mtaalamu;1;wataalamu;2;Gelehrte;0;;;Allgemein;
halafu;später;;Adverb;;0;;;;;;0;;;Allgemein;
halafu;danach;;Adverb;;0;;;;;;0;;;Allgemein;
halafu;dann;;Adverb;;0;;;;;;0;;;Allgemein;
baadaye;danach;;Sonstige;;0;;;;;;0;;;Allgemein;
baadaye;dann;;Sonstige;;0;;;;;;0;;;Allgemein;
baadaye;nachher;;Sonstige;;0;;;;;;0;;;Allgemein;
baadaye;hinterher;;Sonstige;;0;;;;;;0;;;Allgemein;
baadaye;sodann;;Sonstige;;0;;;;;;0;;;Allgemein;
baadaye;folglich;;Sonstige;;0;;;;;;0;;;Allgemein;
baadaye;später;;Sonstige;;0;;;;;;0;;;Allgemein;
kwenda;hin;;Sonstige;;0;;;;;;0;;;Allgemein;
kwenda;nach;;Sonstige;;0;;;;;;0;;;Allgemein;
kwenda;zu;;Sonstige;;0;;;;;;0;;;Allgemein;
kutoka;von;;Sonstige;;0;;;;;;0;;;Allgemein;
kutoka;aus;;Sonstige;;0;;;;;;0;;;Allgemein;
kutoka huko;von dort;;Ausdruck;;;;;;;;;;;Allgemein;
Alisafiri kwenda Songea.;Er ist nach Songea gereist.;;Beispiel;;0;;;;;;0;;;Allgemein;
Tulisafiri kutoka Dar mpaka Mtwara.;Wir sind von Dar nach Mtwara gefahren.;;Beispiel;;0;;;;;;0;;;Allgemein;
Atasafiri kutoka Kenya kwende Tanzania.;Er wird von Kenia nach Tansania fahren.;;Beispiel;;0;;;;;;0;;;Allgemein;
barua kutoka kwa mama;ein Brief von der Mutter;;Ausdruck;;0;;;;;;0;;;Allgemein;
kutoka asubuhi mpaka jioni;von morgens bis abends;;Ausdruck;;0;;;;;;0;;;Allgemein;
-elekea;zeigen nach;;Verb;;0;;;;;;0;elekea;kuelekea;Allgemein;
-elekea;[auf etw.] gerichtet sein;;Verb;;;;;;;;0;elekea;kuelekea;Allgemein;
-elekea;sich begeben nach;;Verb;;0;;;;;;0;elekea;kuelekea;Allgemein;
-elekea;sich in eine Richtung begeben;;Verb;;0;;;;;;0;elekea;kuelekea;Allgemein;
-elekeza;zeigen;;Verb;;0;;;;;;0;elekeza;kuelekeza;Allgemein;
-elekeza;hinweisen;;Verb;;0;;;;;;0;elekeza;kuelekeza;Allgemein;
-elekeza;lenken;;Verb;;0;;;;;;0;elekeza;kuelekeza;Allgemein;
-elekeza;anleiten;;Verb;;0;;;;;;0;elekeza;kuelekeza;Allgemein;
-elekeza;Richtung geben;;Verb;;0;;;;;;0;elekeza;kuelekeza;Allgemein;
Abisina alifua nguo zote.;Abisina hat die ganze Wäsche gewaschen.;;Beispiel;;0;;;;;;0;;;Allgemein;
Barabara hii ni ya kwenda Iringa?;Führt diese Strasse nach Iringa?;;Beispiel;;0;;;;;;0;;;Allgemein;
Nataka kwenda Mtwara. Naomba unilekeze.;Ich möchte nach Mtwara. Können Sie mir bitte die Richtung zeigen.;;Beispiel;;0;;;;;;0;;;Reisen, Hotel, Restaurant;
-fua nguo;Wäsche waschen;;Verb;;0;;;;;;0;fua nguo;kufua nguo;Allgemein;
Naomba uniletee ...;Können Sie mir bitte ... bringen;;Ausdruck;;0;;;;;;0;;;Allgemein;
majadiliano;Diskussion;;Substantiv;6;0;;5;majadiliano;6;Diskussionen;0;;;Allgemein;
majadiliano;Debatte;;Substantiv;6;0;;5;majadiliano;6;Debatten;0;;;Allgemein;
maana yake;das heisst;;Sonstige;;0;;;;;;0;;;Allgemein;
maana yake;nämlich;;Sonstige;;0;;;;;;0;;;Allgemein;
kati ya;inmitten;;Sonstige;;0;;;;;;0;;;Allgemein;
kati ya;mitten;;Sonstige;;0;;;;;;0;;;Allgemein;
tafauti;Unterschied;;Substantiv;9/10;0;tafauti;9;tafauti;10;Unterschiede;0;;;Allgemein;
tafauti;Differenz;;Substantiv;9/10;0;tafauti;9;tafauti;10;Differenzen;0;;;Allgemein;
tafauti;Kluft;;Substantiv;9/10;0;tafauti;9;tafauti;10;Klüfte;0;;;Allgemein;
tofauti;Kluft;;Substantiv;9/10;0;tofauti;9;tofauti;10;Klüfte;0;;;Allgemein;
tofauti;Differenz;;Substantiv;9/10;0;tofauti;9;tofauti;10;Differenzen;0;;;Allgemein;
tofauti;Unterschied;;Substantiv;9/10;0;tofauti;9;tofauti;10;Unterschiede;0;;;Allgemein;
kuhusu;betreffend;;Sonstige;;0;;;;;;0;;;Allgemein;
kuhusu;hinsichtlich;;Sonstige;;0;;;;;;0;;;Allgemein;
eneo;Gebiet;;Substantiv;5/6;0;eneo;5;maeneo;6;Gebiete;0;;;Allgemein;
eneo;Gegend;;Substantiv;5/6;0;eneo;5;maeneo;6;Gegenden;0;;;Allgemein;
eneo;Fläche;;Substantiv;5/6;0;eneo;5;maeneo;6;Flächen;0;;;Allgemein;
eneo;Territorium;;Substantiv;5/6;0;eneo;5;maeneo;6;Territorien;0;;;Allgemein;
Sijui alikokwenda. Yupo karibu.;Ich weiss nicht, wo er ist. Er ist hier in der Nähe.;;Beispiel;;;;;;;;;;;Allgemein;
Sijui alikokwenda. Yupo jirani.;Ich weiss nicht, wo er ist. Er ist hier in der Nähe.;;Beispiel;;;;;;;;;;;Allgemein;
Sijui alikokwenda. Yupo maeneo haya haya.;Ich weiss nicht, wo er ist. Er ist hier in der Nähe.;;Beispiel;;;;;;;;;;;Allgemein;
-ua;töten;;Verb;;0;;;;;;0;ua;kuua;Allgemein;
-uawa;getötet werden;;Verb;;0;;;;;;0;uawa;kuuawa;Allgemein;
mkutano;Versammlung;;Substantiv;3/4;0;mkutano;3;mikutano;4;Versammlungen;0;;;Allgemein;
mkutano;Tagung;;Substantiv;3/4;0;mkutano;3;mikutano;4;Tagungen;0;;;Allgemein;
mkutano;Veranstaltung;;Substantiv;3/4;0;mkutano;3;mikutano;4;Veranstaltungen;0;;;Allgemein;
mkutano;Kundgebung;;Substantiv;3/4;0;mkutano;3;mikutano;4;Kundgebungen;0;;;Allgemein;
Akirudi, nimwambie nini?;Was soll ich ihm sagen, wenn er zurückkommt?;;Beispiel;;0;;;;;;0;;;Allgemein;
Akirudi, nimwambiaje?;Was soll ich ihm sagen, wenn er zurückkommt?;;Beispiel;;0;;;;;;0;;;Allgemein;
-pikia;[für jmdn.] kochen;;Verb;;;;;;;;0;pikia;kupikia;Allgemein;
Mama anampikia mtoto.;Die Mutter kocht für das Kind.;;Beispiel;;0;;;;;;0;;;Allgemein;
Kisu changu kimepotea.;Mein Messer ist verloren gegangen. (Ich habe mein Messer verloren.);;Beispiel;;0;;;;;;0;;;Allgemein;
-toa;herausgeben;;Verb;;0;;;;;;0;toa;kutoa;Allgemein;
-toa;geben;;Verb;;0;;;;;;0;toa;kutoa;Allgemein;
-toa;erzeugen;;Verb;;0;;;;;;0;toa;kutoa;Allgemein;
kuwa tofauti na;sich unterscheiden von;;Ausdruck;;0;;;;;;0;;;Allgemein;
-vunja;(etw.) zerbrechen;;Verb;;0;;;;;;0;vunja;kuvunja;Allgemein;
mtoto mchanga;Baby;;Substantiv;1/2;0;mtoto mchanga;1;watoto wachanga;2;Babies;0;;;Allgemein;
mtoto mchanga;Säugling;;Substantiv;1/2;0;mtoto mchanga;1;watoto wachanga;2;Säuglinge;0;;;Allgemein;
mtoto mchanga;Kleinkind;;Substantiv;1/2;0;mtoto mchanga;1;watoto wachanga;2;Kleinkinder;0;;;Allgemein;
-changamka;heiter sein;;Verb;;0;;;;;;0;changamka;kuchangamka;Allgemein;
-changamka;fröhlich sein;;Verb;;0;;;;;;0;changamka;kuchangamka;Allgemein;
-changamka;lebenslustig sein;;Verb;;0;;;;;;0;changamka;kuchangamka;Allgemein;
-changamka;geistreich sein;;Verb;;0;;;;;;0;changamka;kuchangamka;Allgemein;
changamko;Unterhaltung;;Substantiv;5/6;0;changamko;5;machangamko;6;Unterhaltungen;0;;;Allgemein;
changamko;Zeitvertreib;;Substantiv;5/6;0;changamko;5;machangamko;6;Zeitvertreibe;0;;;Allgemein;
changamko;Belustigung;;Substantiv;5/6;0;changamko;5;machangamko;6;Belustigungen;0;;;Allgemein;
changamko;Liebenswürdigkeit;;Substantiv;5/6;0;changamko;5;machangamko;6;Liebenswürdigkeiten;0;;;Allgemein;
changamko;Spielerei;;Substantiv;5/6;0;changamko;5;machangamko;6;Spielereien;0;;;Allgemein;
kiwanja;Vorplatz;;Substantiv;7/8;0;kiwanja;7;viwanja;8;Vorplätze;0;;;Allgemein;
kiwanja;Platz;;Substantiv;7/8;0;kiwanja;7;viwanja;8;Plätze;0;;;Allgemein;
-ficha;verstecken;;Verb;;0;;;;;;0;ficha;kuficha;Allgemein;
ua;Hof;;Substantiv;11/10;0;ua;11;nyua;10;Höfe;0;;;Allgemein;
ua;offener Platz;;Substantiv;11/10;0;ua;11;nyua;10;offene Plätze;0;;;Allgemein;
Muuzaji yuko wapi?;Wo ist der Verkäufer?;;Beispiel;;0;;;;;;0;;;Einkaufen, Geld;
suruali;Hose;;Substantiv;9/10;0;suruali;9;suruali;10;Hosen;0;;;Allgemein;
ruhusa ya kuingia;Zutritt;;Substantiv;9/10;0;ruhusa ya kuingia;9;ruhusa ya kuingia;10;Zutritte;0;;;Allgemein;
maana yake nini?;was heisst das?;;Ausdruck;;0;;;;;;0;;;Allgemein;
bakuli;Schüssel;;Substantiv;5/6;0;bakuli;5;mabakuli;6;Schüsseln;0;;;Allgemein;
shughuli;Beschäftigung;;Substantiv;9/10;0;shughuli;9;shughuli;10;Beschäftigungen;0;;;Allgemein;
shughuli;Tätigkeit;;Substantiv;9/10;0;shughuli;9;shughuli;10;Tätigkeiten;0;;;Allgemein;
mjusi;Gecko;;Substantiv;3/4;1;mjusi;3;mijusi;4;Geckos;0;;;Pflanzen, Tiere;
mjusi;Eidechse;;Substantiv;3/4;1;mjusi;3;mijusi;4;Eidechsen;0;;;Pflanzen, Tiere;
badala;Austausch;;Substantiv;9/10;0;badala;9;badala;10;Austausche;0;;;Allgemein;
-ziba pancha;Reifen flicken;;Ausdruck;;0;;;;;;0;;;Allgemein;
-laza;einweisen;;Verb;;0;;;;;;0;laza;kulaza;Allgemein;
-laza;ins Bett bringen;;Verb;;0;;;;;;0;laza;kulaza;Allgemein;
-jibu;antworten;;Verb;;;;;;;;0;jibu;kujibu;Allgemein;
Naomba uje.;Bitte kommen Sie. (Komm&#039; bitte.);;Ausdruck;;0;;;;;;0;;;Allgemein;
-kaa;sich aufhalten;;Verb;;0;;;;;;0;kaa;kukaa;Allgemein;
-kaa;wohnen;;Verb;;0;;;;;;0;kaa;kukaa;Allgemein;
-kohoa;husten;;Verb;;0;;;;;;0;kohoa;kukohoa;Allgemein;
-ugua;erkranken;;Verb;;0;;;;;;0;ugua;kuugua;Gesundheit, Medizin;
-ugua;krank sein;;Verb;;0;;;;;;0;ugua;kuugua;Gesundheit, Medizin;
Ugua pole!;Gute Besserung!;;Ausdruck;;0;;;;;;0;;;Gesundheit, Medizin;
-zimika;verloschen sein;;Verb;;0;;;;;;0;zimika;kuzimika;Allgemein;
-zimika;ausgeschaltet sein;;Verb;;0;;;;;;0;zimika;kuzimika;Allgemein;
Umeme ulizimika.;Der Strom war unterbrochen (weg).;;Beispiel;;0;;;;;;0;;;Allgemein;
siasa;Politik;;Substantiv;9/10;0;siasa;9;siasa;10;Politik (Pl.);0;;;Allgemein;
-toa;abziehen;;Verb;;0;;;;;;0;toa;kutoa;Allgemein;
8 kutoa 5.;8 minus 5.;;Beispiel;;;;;;;;;;;Allgemein;
-fuata;nachfolgen;;Verb;;0;;;;;;0;fuata;kufuata;Allgemein;
-fuata;gehorchen;;Verb;;0;;;;;;0;fuata;kufuata;Allgemein;
-fuata;nachahmen;;Verb;;0;;;;;;0;fuata;kufuata;Allgemein;
-fuata;kopieren;;Verb;;0;;;;;;0;fuata;kufuata;Allgemein;
nina maana;das heisst;;Ausdruck;;0;;;;;;0;;;Allgemein;
nina maana;ich will sagen;;Ausdruck;;0;;;;;;0;;;Allgemein;
Naelekea Mtwara. Nitumie barabara ipi?;Ich bin auf dem Weg nach Mtwara. Welche Strasse muss ich nehmen?;;Beispiel;;0;;;;;;0;;;Allgemein;
Naelekea Mtwara. Nifuate barabara ipi?;Ich bin auf dem Weg nach Mtwara. Welche Strasse muss ich nehmen?;;Beispiel;;0;;;;;;0;;;Allgemein;
Naelekea Mtwara. Nipite barabara ipi?;Ich bin auf dem Weg nach Mtwara. Welche Strasse muss ich nehmen?;;Beispiel;;0;;;;;;0;;;Allgemein;
-anguka;hinfallen;;Verb;;0;;;;;;0;anguka;kuanguka;Allgemein;
-anguka;umfallen;;Verb;;0;;;;;;0;anguka;kuanguka;Allgemein;
badala ya;anstatt;;Sonstige;;0;;;;;;0;;;Allgemein;
badala ya;anstelle von;;Sonstige;;0;;;;;;0;;;Allgemein;
jibu;Antwort;;Substantiv;5/6;0;jibu;5;majibu;6;Antworten;0;;;Allgemein;
jibu;Ergebnis;;Substantiv;5/6;0;jibu;5;majibu;6;Ergebnisse;0;;;Allgemein;
jibu;Resultat;;Substantiv;5/6;0;jibu;5;majibu;6;Resultate;0;;;Allgemein;
Nenda!;Gehe! (Geh!);;Ausdruck;;0;;;;;;0;;;Allgemein;
-pita;passieren;;Verb;;0;;;;;;0;pita;kupita;Allgemein;
