Kiswahili;Deutsch;Zusatz de;Wortart;Klasse;Animate;Singular Kiswahili;Klasse Singular;Plural Kiswahili;Klasse Plural;Plural Deutsch;Einsilbig;Verbstamm;Infinitiv;Thema;Anmerkung
ajabu;wunderbar;;Adjektiv;;0;;;;;;0;;;Allgemein;
-a pili;der Zweite;;Adjektiv;;0;;;;;;0;;;Allgemein;
-a kwanza;der Erste;;Adjektiv;;0;;;;;;0;;;Allgemein;
upesi;eilig, schnell, hastig, flink;;Sonstige;;0;;;;;;0;;;Allgemein;
kuweka waya;Kabel verlegen;;Ausdruck;;0;;;;;;0;;;Arbeit, Handwerk;
kuchimba shimo;Ein Loch graben;;Ausdruck;;0;;;;;;0;;;Allgemein;
nitarudi sasa hivi;Ich bin gleich wieder zurück;;Beispiel;;0;;;;;;0;;;Allgemein;
kutoboa tundu;Ein Loch bohren;;Ausdruck;;0;;;;;;0;;;Allgemein;
inakupasa;du musst;;Ausdruck;;0;;;;;;0;;;Allgemein;
sikukuu ya kuzaliwa;Geburtstag;;Ausdruck;;0;;;;;;0;;;Allgemein;
mchana kutwa;den ganzen Tag lang;;Ausdruck;;0;;;;;;0;;;Allgemein;
kesho kutwa;übermorgen;;Ausdruck;;0;;;;;;0;;;Allgemein;
hata kidogo;nicht (einmal) ein bischen;;Sonstige;;;;;;;;;;;Allgemein;
mbali na;weit von, ausser, über … hinaus;;Sonstige;;0;;;;;;0;;;Allgemein;
hata;sogar;;Adverb;;;;;;;;;;;Allgemein;
nauli;Reisekosten;;Substantiv;9/10;0;nauli;9;nauli;10;Reisekosten;;;;Allgemein;
juu;oben;;Sonstige;;;;;;;;;;;Allgemein;
tayari;fertig;;Adverb;;0;;;;;;0;;;Allgemein;
sasa hivi;sofort, gerade eben, sogleich;;Sonstige;;0;;;;;;0;;;Allgemein;
bila;ohne;;Sonstige;;0;;;;;;0;;;Allgemein;
afadhali;besser;;Sonstige;;;;;;;;;;;Allgemein;
sivyo?;Nicht wahr? Ist es nicht so? Stimmt&#039;s?;;Sonstige;;0;;;;;;0;;;Allgemein;
lazima;notwendig;;Sonstige;;0;;;;;;0;;;Allgemein;
haya;nun denn, okay;;Sonstige;;0;;;;;;0;;;Allgemein;
tu;nur, lediglich, einfach;;Sonstige;;0;;;;;;0;;;Allgemein;
kitu fulani;etwas;;Sonstige;;0;;;;;;0;;;Allgemein;
kwa mfano;zum Beispiel;;Sonstige;;0;;;;;;0;;;Allgemein;
-tuma;schicken;;Verb;;;;;;;;0;tuma;kutuma;Allgemein;
kwa ajili;aufgrund;;Sonstige;;0;;;;;;0;;;Allgemein;
kumbe;Oh! (Ausdruck des Erstaunens);;Sonstige;;0;;;;;;0;;;Allgemein;
kwa ajili hii;deswegen;;Sonstige;;;;;;;;;;;Allgemein;
je? (als Verbsuffix);wie? Was?;;Sonstige;;0;;;;;;0;;;Allgemein;
kwa bidii;eifrig;;Sonstige;;0;;;;;;0;;;Allgemein;
